;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
116;116;116;Tick;117;lvmh;0.016;0.014;0.014;100000;0.026612078059608104;19395238;6.48165858781195;13.10262354345632
117;117;117;Tick;118;lvmh;0.016;0.014;0.014;70000;0.026511306942791628;19465238;6.7295137629493285;15.161301339429157
118;118;118;Tick;119;lvmh;0.016;0.014;0.014;10000;0.0264116445418584;19475238;6.725825936826207;17.044955098276365
119;119;119;Tick;120;lvmh;0.016;0.014;0.014;100000;0.026313071351914488;19575238;6.689232731978541;17.028240940889095
120;120;120;Tick;121;lvmh;0.016;0.014;0.014;9559;0.02621556832130412;19584797;6.683250632302956;17.011829127623603
121;121;121;Tick;122;lvmh;0.016;0.014;0.014;100;0.026119116839258;19584897;6.6832142271761406;16.995711527375367
122;122;122;Tick;123;lvmh;0.016;0.014;0.014;111738;0.0260236987238871;19696635;6.652818202822581;18.717227628556483
123;123;123;Tick;124;lvmh;0.016;0.014;0.014;100000;0.02592929621051339;19796635;6.616988707395571;18.8627374207218
124;124;124;Tick;125;lvmh;0.016;0.014;0.014;10000;0.02583589194033133;19806635;6.620939452918508;19.00486958196092
125;125;125;Tick;126;lvmh;0.016;0.014;0.014;26059;0.025743468949393448;19832694;6.749322371134253;18.985188801036244
126;126;126;Tick;127;lvmh;0.016;0.014;0.014;6000;0.025652010657912387;19838694;6.776151720385227;18.965842119520754
127;127;127;Tick;128;lvmh;0.016;0.014;0.014;5000;0.025561500859871758;19843694;6.774328675112142;19.104118975462576
128;128;128;Tick;129;lvmh;0.016;0.013;0.013;197686;0.025471923712939173;20041380;6.785665874674231;19.23930555665961
129;129;129;Tick;130;lvmh;0.016;0.013;0.013;170178;0.02546376053875771;20211558;6.7586653649557595;21.254762036975567
130;130;130;Tick;131;lvmh;0.016;0.013;0.013;130182;0.025454326138032533;20341740;6.7275636821532565;23.073512643007557
131;131;131;Tick;132;lvmh;0.016;0.013;0.013;10000;0.025443680105492337;20351740;6.724035763916201;24.724307835836466
132;132;132;Tick;133;lvmh;0.016;0.013;0.013;100000;0.025431879138611342;20451740;6.695626978331205;24.813633806557487
133;133;133;Tick;134;lvmh;0.016;0.013;0.013;196902;0.02541897720038857;20648642;6.674909847315175;25.718222781235067
134;134;134;Tick;135;lvmh;0.016;0.013;0.013;105272;0.02540502567147292;20753914;6.667699392175593;26.567178741901746
135;135;135;Tick;136;lvmh;0.016;0.013;0.013;101306;0.025390073492437056;20855220;6.667718244299079;26.941344935137298
136;136;136;Tick;137;lvmh;0.016;0.013;0.013;94645;0.025374167296939462;20949865;6.655004626158818;27.299994602131463
137;137;137;Tick;138;lvmh;0.016;0.013;0.013;10000;0.025357351536445884;20959865;6.651618311345963;27.644085586860292
138;138;138;Tick;139;lvmh;0.016;0.013;0.013;3900;0.02533966859712837;20963765;6.6502985824671335;27.68556138196002
139;139;139;Tick;140;lvmh;0.016;0.013;0.013;6100;0.025321158909506692;20969865;6.648235440947266;27.725894701497584
140;140;140;Tick;141;lvmh;0.016;0.013;0.013;305309;0.02530186105135096;21275174;6.601780493221234;27.7651321274927
141;141;141;Tick;142;lvmh;0.016;0.013;0.013;269028;0.025281811844322245;21544202;6.6408132107444064;28.081158904812305
142;142;142;Tick;143;lvmh;0.016;0.012;0.012;321741;0.02526104644478857;21865943;6.675854428693841;28.385348314233525
143;143;143;Tick;144;lvmh;0.016;0.012;0.012;165900;0.025372613705497524;22031843;6.6222562189016205;28.302488606298592
144;144;144;Tick;145;lvmh;0.016;0.012;0.012;86497;0.025479397347655013;22118340;6.606966140975834;27.963510663499875
145;145;145;Tick;146;lvmh;0.016;0.012;0.012;147759;0.02558160258476001;22266099;7.290472266793876;27.63467418524317
146;146;146;Tick;147;lvmh;0.016;0.012;0.012;100000;0.025679423323723943;22366099;7.291701945105614;27.57153380680165
147;147;147;Tick;148;lvmh;0.016;0.012;0.012;150000;0.025773042966113057;22516099;7.239608600963628;27.51085944302824
148;148;148;Tick;149;lvmh;0.016;0.012;0.012;100;0.02586263513844769;22516199;7.23957412034178;27.206424155542408
149;149;149;Tick;150;lvmh;0.016;0.012;0.012;993523;0.02594836435914468;23509722;7.174987551188514;26.763963873288738
150;150;150;Tick;151;lvmh;0.013;0.012;0.013;600000;0.026030386648737563;24109722;6.996621246498827;26.33110443791171
151;151;151;Tick;152;lvmh;0.013;0.012;0.013;51570;0.02599474900277822;24161292;7.000718983352668;26.185613047309534
152;152;152;Tick;153;lvmh;0.013;0.012;0.013;600000;0.025958864958234105;24761292;6.831804947383335;26.04231745342987
153;153;153;Tick;154;lvmh;0.014;0.013;0.014;908413;0.02592275047305096;25669705;6.865858534454665;25.901167528692863
154;154;154;Tick;155;lvmh;0.014;0.013;0.014;100300;0.025839580062407063;25770005;7.022488755373134;25.951675993567587
155;155;155;Tick;156;lvmh;0.014;0.013;0.014;834462;0.025757204791269625;26604467;7.028271638810464;26.001418711220953
156;156;156;Tick;157;lvmh;0.014;0.013;0.014;579400;0.025675612074840586;27183867;7.043816039356279;26.050412997557622
157;157;157;Tick;158;lvmh;0.014;0.013;0.014;100;0.025594789605315967;27183967;7.043788302537993;26.098675649375206
158;158;158;Tick;159;lvmh;0.014;0.013;0.014;288914;0.0255147253440994;27472881;7.068980111810851;26.14622296370407
159;159;159;Tick;160;lvmh;0.014;0.013;0.014;4200;0.025435407514281416;27477081;7.06782321551816;26.193070756288257
160;160;160;Tick;161;lvmh;0.014;0.013;0.014;100;0.025356824593373614;27477181;7.067795674983638;26.239234379250682
161;161;161;Tick;162;lvmh;0.014;0.013;0.014;807861;0.025278965306288204;28285042;6.886406805167966;26.284728737984143
162;162;162;Tick;163;lvmh;0.014;0.013;0.014;200000;0.025201818618551808;28485042;7.001441258643119;26.32956830731058
163;163;163;Tick;164;lvmh;0.014;0.013;0.014;9200;0.02512537372974692;28494242;6.9990224696789864;26.373767146939134
164;164;164;Tick;165;lvmh;0.014;0.013;0.014;100000;0.02504962006716874;28594242;7.102401524606301;26.417338916265876
165;165;165;Tick;166;lvmh;0.014;0.013;0.014;100;0.02497454727969204;28594342;7.102374921998312;26.460296888540505
166;166;166;Tick;167;lvmh;0.014;0.013;0.014;448436;0.024900145231838096;29042778;7.009170847786388;26.50265396443766
167;167;167;Tick;168;lvmh;0.014;0.013;0.014;70100;0.02482640399803467;29112878;7.250263107405291;26.688299540869693
168;168;168;Tick;169;lvmh;0.014;0.013;0.014;90000;0.024753313857061414;29202878;7.226303926945254;26.870320324937698
169;169;169;Tick;170;lvmh;0.014;0.013;0.014;100;0.024680865286674143;29202978;7.226277393703699;26.909353496102284
170;170;170;Tick;171;lvmh;0.014;0.013;0.014;252653;0.02460904895840077;29455631;7.170200460558209;27.08656123317264
171;171;171;Tick;172;lvmh;0.014;0.013;0.014;28900;0.024537855732502112;29484531;7.162669013318695;27.123792618412953
172;172;172;Tick;173;lvmh;0.014;0.013;0.014;100;0.024467276653092968;29484631;7.162642980415577;27.160527401241186
173;173;173;Tick;174;lvmh;0.014;0.013;0.014;704758;0.02439730294341481;30189389;7.032147307578256;27.331929566577365
174;174;174;Tick;175;lvmh;0.014;0.013;0.014;100000;0.024327926001258098;30289389;7.040271489854646;27.366990007892007
175;175;175;Tick;176;lvmh;0.014;0.013;0.014;8000;0.02425913739452489;30297389;7.038281672018453;27.401592928475363
176;176;176;Tick;177;lvmh;0.014;0.013;0.014;100000;0.024190928856929816;30397389;7.048932501928367;27.435747237446932
177;177;177;Tick;178;lvmh;0.014;0.013;0.014;100;0.0241232922838322;30397489;7.048907678150171;27.46946161382417
178;178;178;Tick;179;lvmh;0.014;0.013;0.014;87384;0.024056219728196014;30484873;7.193156684416933;27.633199902629087
179;179;179;Tick;180;lvmh;0.014;0.013;0.014;93559;0.02398970339667261;30578432;7.18068926956225;27.793992187632792
180;180;180;Tick;181;lvmh;0.014;0.013;0.014;100;0.023923735645800727;30578532;7.180664100563143;27.825162702424564
181;181;181;Tick;182;lvmh;0.014;0.013;0.014;94053;0.023858308978322317;30672585;7.170001776698831;27.982085649478616
182;182;182;Tick;183;lvmh;0.014;0.013;0.014;100;0.023793416039607083;30672685;7.169976724802542;28.011878557111082
183;183;183;Tick;184;lvmh;0.014;0.013;0.014;99016;0.023729049614183567;30771701;7.17256169082136;28.16509098968884
184;184;184;Tick;185;lvmh;0.014;0.013;0.014;43727;0.02366520262237353;30815428;7.1733129601949965;28.193576163411407
